timestep,cumulative_active_nodes,percent_activated,reward,algorithm,trial
6,795,70.29702970297029,218.4167598443129,cdsqn,2
7,955,79.20792079207921,243.71330047770542,cdsqn,2
8,1118,80.6930693069307,247.86221084191632,cdsqn,2
9,1274,77.22772277227723,237.98796546544685,cdsqn,2
10,1428,76.23762376237624,235.48492294595368,cdsqn,2
11,1590,80.19801980198021,248.72272239948188,cdsqn,2
12,1746,77.22772277227723,240.5946779835413,cdsqn,2
13,1901,76.73267326732673,235.12413832536868,cdsqn,2
14,2056,76.73267326732673,235.41119881785357,cdsqn,2
15,2209,75.74257425742574,235.52700240594476,cdsqn,2
16,2366,77.72277227722772,238.01515671893782,cdsqn,2
17,2529,80.6930693069307,248.18531011260953,cdsqn,2
18,2691,80.19801980198021,245.62233659303283,cdsqn,2
19,2858,82.67326732673267,254.49355939138368,cdsqn,2
20,3016,78.21782178217822,243.184518328594,cdsqn,2
1,108,53.46534653465347,164.04603879001516,whittle,2
2,250,70.29702970297029,216.5409028678457,whittle,2
3,401,74.75247524752476,228.4648174562471,whittle,2
4,555,76.23762376237624,234.6676753058755,whittle,2
5,707,75.24752475247524,231.92672733791747,whittle,2
6,865,78.21782178217822,240.32111118050747,whittle,2
7,1020,76.73267326732673,235.72013930961654,whittle,2
8,1177,77.72277227722772,237.5538698681386,whittle,2
9,1338,79.70297029702971,245.26878475852354,whittle,2
10,1505,82.67326732673267,252.95250336886696,whittle,2
11,1655,74.25742574257426,228.9914789661402,whittle,2
12,1806,74.75247524752476,229.2754348219465,whittle,2
13,1957,74.75247524752476,231.56556746699223,whittle,2
14,2114,77.72277227722772,240.44204075255206,whittle,2
15,2282,83.16831683168317,256.8299624517905,whittle,2
16,2445,80.6930693069307,249.47979567715996,whittle,2
17,2605,79.20792079207921,245.3208462228662,whittle,2
18,2757,75.24752475247524,234.01267925679613,whittle,2
19,2916,78.71287128712872,243.28077976539845,whittle,2
20,3077,79.70297029702971,244.4638816425544,whittle,2
1,91,45.04950495049505,144.4090971765089,random,2
2,215,61.386138613861384,192.5214591931249,random,2
3,351,67.32673267326733,207.14988963159075,random,2
4,492,69.80198019801979,215.99502878498134,random,2
5,650,78.21782178217822,241.43336550172694,random,2
6,803,75.74257425742574,232.97741203810835,random,2
7,960,77.72277227722772,241.45473849075344,random,2
8,1106,72.27722772277228,224.2426445831101,random,2
9,1250,71.28712871287128,220.49066367613003,random,2
10,1407,77.72277227722772,238.78838028780575,random,2
11,1559,75.24752475247524,233.67453175591157,random,2
12,1716,77.72277227722772,240.4025529905577,random,2
13,1872,77.22772277227723,238.96217974360894,random,2
14,2032,79.20792079207921,243.43386916488862,random,2
15,2191,78.71287128712872,243.929774178225,random,2
16,2338,72.77227722772277,223.82006214386752,random,2
